CustomerID,CustomerName,City,Segment,JoinDate
C10001,Customer_1,Kolkata,Consumer,2024-06-01
C10002,Customer_2,Hyderabad,Consumer,2022-11-09
C10003,Customer_3,Chennai,Small Business,2024-04-19
C10004,Customer_4,Kolkata,Corporate,2023-06-03
C10005,Customer_5,Pune,Small Business,2025-05-14
C10006,Customer_6,Ahmedabad,Corporate,2023-01-10
C10007,Customer_7,Chennai,Corporate,2023-03-27
C10008,Customer_8,Chennai,Small Business,2024-10-11
C10009,Customer_9,Kolkata,Consumer,2023-08-18
C10010,Customer_10,Mumbai,Consumer,2025-04-17
C10011,Customer_11,,Consumer,2025-05-18
C10012,Customer_12,Kolkata,Small Business,2023-05-15
C10013,Customer_13,Pune,Small Business,2023-04-09
C10014,Customer_14,Pune,Consumer,2025-02-21
C10015,Customer_15,Ahmedabad,Corporate,2022-04-23
C10016,Customer_16,Chennai,Small Business,2024-11-01
C10017,Customer_17,Hyderabad,Consumer,2025-02-23
C10018,Customer_18,Ahmedabad,Corporate,2026-05-08
C10019,Customer_19,Ahmedabad,Small Business,2022-11-27
C10020,Customer_20,Pune,Consumer,2025-07-30
C10021,Customer_21,Delhi,Corporate,2022-05-20
C10022,Customer_22,Chennai,Consumer,2025-11-25
C10023,Customer_23,Mumbai,Small Business,2024-06-20
C10024,Customer_24,Ahmedabad,Small Business,2025-01-25
C10025,Customer_25,Hyderabad,Small Business,2023-06-01
C10026,Customer_26,Delhi,consumer,2023-07-23
C10027,Customer_27,Delhi,Small Business,2024-04-25
C10028,Customer_28,Mumbai,Small Business,2024-12-28
C10029,Customer_29,Ahmedabad,Consumer,2022-04-28
C10030,Customer_30,Hyderabad,Small Business,2024-06-06
C10031,Customer_31,Chennai,Consumer,2024-12-18
C10032,Customer_32,Bengaluru,Corporate,2024-11-22
C10033,Customer_33,Hyderabad,Consumer,2025-09-03
C10034,Customer_34,Mumbai,Consumer,2022-02-19
C10035,Customer_35,Delhi,Consumer,2026-02-21
C10036,Customer_36,Chennai,Corporate,2022-01-19
C10037,Customer_37,Hyderabad,Consumer,2023-12-27
C10038,Customer_38,Bengaluru,Corporate,2022-07-16
C10039,Customer_39,Bengaluru,Consumer,2026-01-13
C10040,Customer_40,Pune,Consumer,2023-07-13
C10041,Customer_41,Pune,Consumer,2023-03-28
C10042,Customer_42,Kolkata,Corporate,2022-10-16
C10043,Customer_43,Mumbai,Consumer,2025-03-10
C10044,Customer_44,Ahmedabad,Corporate,2025-01-12
C10045,Customer_45,Hyderabad,Small Business,2023-01-26
C10046,Customer_46,Hyderabad,Corporate,2026-06-03
C10047,Customer_47,Ahmedabad,Consumer,2022-08-03
C10048,Customer_48,Kolkata,Consumer,2026-03-30
C10049,Customer_49,Delhi,Small Business,2022-08-03
C10050,Customer_50,Delhi,Consumer,2025-11-27
C10051,Customer_51,Kolkata,Small Business,2022-05-08
C10052,Customer_52,Delhi,Consumer,2026-02-09
C10053,Customer_53,Pune,Small Business,2024-01-30
C10054,Customer_54,Hyderabad,Corporate,2023-02-08
C10055,Customer_55,Kolkata,Small Business,2024-11-18
C10056,Customer_56,Hyderabad,Consumer,2022-12-04
C10057,Customer_57,Ahmedabad,Corporate,2024-04-10
C10058,Customer_58,Bengaluru,Consumer,2023-12-15
C10059,Customer_59,Pune,Consumer,2022-12-27
C10060,Customer_60,Chennai,Corporate,2023-07-23
C10061,Customer_61,Pune,Small Business,2025-11-16
C10062,Customer_62,Kolkata,Small Business,2022-08-06
C10063,Customer_63,Chennai,Corporate,2026-05-17
C10064,Customer_64,Bengaluru,Consumer,2022-07-21
C10065,Customer_65,Kolkata,Consumer,2022-01-17
C10066,Customer_66,Mumbai,Corporate,2022-11-18
C10067,Customer_67,Hyderabad,Consumer,2023-06-02
C10068,Customer_68,Bengaluru,Consumer,2026-05-13
C10069,Customer_69,Hyderabad,Consumer,2025-09-10
C10070,Customer_70,Delhi,Consumer,2025-12-06
C10071,Customer_71,Mumbai,Consumer,2025-09-03
C10072,Customer_72,Mumbai,Consumer,2023-11-12
C10073,Customer_73,Bengaluru,Consumer,2025-01-10
C10074,Customer_74,Mumbai,Consumer,2026-02-06
C10075,Customer_75,Chennai,Small Business,2026-01-31
C10076,Customer_76,Mumbai,Consumer,2023-03-01
C10077,Customer_77,Hyderabad,Consumer,2025-05-12
C10078,Customer_78,Hyderabad,Corporate,2026-05-26
C10079,Customer_79,Kolkata,Consumer,2024-10-15
C10080,Customer_80,Hyderabad,Small Business,2023-01-22
C10081,Customer_81,Kolkata,Corporate,2024-02-17
C10082,Customer_82,Hyderabad,Consumer,2022-04-08
C10083,Customer_83,Chennai,Consumer,2025-09-30
C10084,Customer_84,Ahmedabad,Small Business,2022-07-27
C10085,Customer_85,Kolkata,Small Business,2026-03-18
C10086,Customer_86,Pune,Consumer,2023-08-09
C10087,Customer_87,Delhi,Corporate,2022-06-15
C10088,Customer_88,Bengaluru,Consumer,2022-01-22
C10089,Customer_89,Hyderabad,Small Business,2022-06-03
C10090,Customer_90,Mumbai,Consumer,2026-01-02
C10091,Customer_91,Ahmedabad,Small Business,2025-08-11
C10092,Customer_92,Hyderabad,Corporate,2022-08-07
C10093,Customer_93,Mumbai,Corporate,2023-10-31
C10094,Customer_94,Delhi,Consumer,2026-02-27
C10095,Customer_95,Delhi,Consumer,2022-08-18
C10096,Customer_96,Delhi,Consumer,2022-01-20
C10097,Customer_97,Mumbai,Consumer,2023-07-07
C10098,Customer_98,Hyderabad,Consumer,2024-08-07
C10099,Customer_99,Delhi,Corporate,2022-05-28
C10100,Customer_100,Chennai,Consumer,2025-02-05
C10101,Customer_101,Kolkata,Consumer,2023-02-07
C10102,Customer_102,Mumbai,Small Business,2023-08-19
C10103,Customer_103,Mumbai,Small Business,2026-02-15
C10104,Customer_104,Hyderabad,Small Business,2023-01-02
C10105,Customer_105,Mumbai,Small Business,2025-12-08
C10106,Customer_106,Mumbai,Consumer,2025-08-25
C10107,Customer_107,Delhi,Consumer,2024-03-12
C10108,Customer_108,Hyderabad,Corporate,2024-07-06
C10109,Customer_109,Delhi,Corporate,2025-03-03
C10110,Customer_110,Kolkata,Consumer,2025-07-30
C10111,Customer_111,Ahmedabad,Small Business,2022-03-14
C10112,Customer_112,Kolkata,Consumer,2023-04-26
C10113,Customer_113,Ahmedabad,Consumer,2025-10-07
C10114,Customer_114,Delhi,Consumer,2023-07-14
C10115,Customer_115,Kolkata,Corporate,2025-09-11
C10116,Customer_116,Hyderabad,Corporate,2024-01-15
C10117,Customer_117,Bengaluru,Consumer,2026-01-06
C10118,Customer_118,Delhi,Small Business,2022-04-10
C10119,Customer_119,Ahmedabad,Consumer,2024-12-18
C10120,Customer_120,Chennai,Consumer,2023-05-23
C10121,Customer_121,Ahmedabad,Small Business,2022-09-15
C10122,Customer_122,Chennai,Small Business,2023-02-17
C10123,Customer_123,Mumbai,Small Business,2026-01-15
C10124,Customer_124,Kolkata,Small Business,2024-12-24
C10125,Customer_125,Chennai,Corporate,2023-08-18
C10126,Customer_126,Ahmedabad,Corporate,2025-03-23
C10127,Customer_127,Mumbai,Consumer,2022-09-23
C10128,Customer_128,Bengaluru,Consumer,2024-03-31
C10129,Customer_129,Hyderabad,Consumer,2025-01-07
C10130,Customer_130,Hyderabad,Consumer,2025-08-31
C10131,Customer_131,Hyderabad,Corporate,2023-10-24
C10132,Customer_132,Chennai,Consumer,2024-08-04
C10133,Customer_133,Bengaluru,Consumer,2023-07-14
C10134,Customer_134,Chennai,Consumer,2024-07-05
C10135,Customer_135,Kolkata,Corporate,2024-06-09
C10136,Customer_136,Chennai,Consumer,2025-06-25
C10137,Customer_137,Bengaluru,Small Business,2024-05-17
C10138,Customer_138,Bengaluru,Consumer,2023-09-02
C10139,Customer_139,Kolkata,Consumer,2023-02-18
C10140,Customer_140,Bengaluru,Corporate,2022-01-25
C10141,Customer_141,Ahmedabad,Small Business,2022-10-11
C10142,Customer_142,Bengaluru,Consumer,2026-01-12
C10143,Customer_143,Hyderabad,Corporate,2024-05-30
C10144,Customer_144,Ahmedabad,Corporate,2022-10-28
C10145,Customer_145,Ahmedabad,Consumer,2024-12-27
C10146,Customer_146,Kolkata,Small Business,2024-10-27
C10147,Customer_147,Pune,Corporate,2024-03-27
C10148,Customer_148,Pune,Corporate,2025-03-06
C10149,Customer_149,Bengaluru,Small Business,2025-04-02
C10150,Customer_150,Ahmedabad,Small Business,2022-03-24
C10151,Customer_151,Pune,Corporate,2025-12-14
C10152,Customer_152,Pune,Small Business,2025-01-01
C10153,Customer_153,Bengaluru,Corporate,2025-06-14
C10154,Customer_154,Pune,Corporate,2022-02-15
