OrderID,CustomerID,ProductID,OrderDate,Quantity,DiscountPct,SalesAmount
O30001,C11933,P20147,2025-01-17,6.0,0,201371.82
O30002,C10681,P20345,2026-03-22,1.0,20,8818.23
O30003,C11488,P20178,2025-06-19,4.0,10,36938.99
O30004,C11851,P20315,2025-10-07,4.0,10,258125.33
O30005,C11861,P20325,2025-12-06,3.0,5,22944.21
O30006,C11399,P20418,2026-06-03,5.0,10,172495.89
O30007,C11116,P20167,2025-01-11,5.0,10,137540.7
O30008,C10181,P20123,2026-06-08,4.0,10,254996.64
O30009,C10743,P20074,2025-05-13,6.0,20,186681.98
O30010,C11325,P20239,2025-05-28,2.0,5,11257.54
O30011,C10660,P20249,2025-03-20,7.0,10,333959.6
O30012,C11816,P20263,2025-12-12,7.0,10,266342.33
O30013,C11213,P20252,2025-09-06,7.0,5,479582.51
O30014,C11883,P20357,2026-06-26,6.0,5,282728.61
O30015,C11886,P20111,2025-01-24,4.0,20,65871.42
O30016,C11338,P20180,2026-04-16,7.0,0,154626.5
O30017,C10493,P20188,2025-07-20,6.0,0,389749.02
O30018,C10923,P20308,2025-05-11,2.0,5,112439.36
O30019,C11946,P20207,2025-12-22,5.0,0,135855.35
O30020,C10128,P20234,2025-05-30,4.0,15,131359.95
O30021,C11543,P20024,2026-06-10,1.0,0,29271.22
O30022,C11450,P20026,2025-10-31,7.0,0,381043.67
O30023,C11583,P20381,2026-06-25,2.0,15,120962.6
O30024,C10565,P20218,2025-02-19,2.0,0,64372.64
O30025,C11211,P20494,2026-04-09,2.0,10,58628.14
O30026,C10550,P20346,2025-08-28,5.0,15,60137.67
O30027,C10453,P20378,2026-04-27,6.0,10,57677.29
O30028,C10471,P20010,2026-03-31,3.0,10,57209.84
O30029,C10988,P20017,2025-10-10,7.0,0,267046.01
O30030,C10738,P20245,2025-12-01,1.0,0,4220.38
O30031,C11589,P20206,2025-12-18,7.0,0,246230.53
O30032,C11935,P20258,2025-11-23,4.0,0,57611.64
O30033,C10224,P20112,2025-12-02,6.0,5,136351.24
O30034,C10154,P20205,2025-03-22,2.0,5,122180.64
O30035,C10560,P20027,2025-03-28,7.0,10,395515.58
O30036,C10351,P20457,2025-09-15,5.0,0,98874.75
O30037,C11171,P20071,2025-07-04,2.0,5,141544.13
O30038,C11929,P20176,2025-05-03,6.0,0,267607.8
O30039,C11600,P20202,2025-04-06,4.0,0,225398.84
O30040,C10349,P20248,2026-05-30,1.0,10,23927.22
O30041,C10182,P20118,2026-03-19,2.0,10,84641.78
O30042,C10637,P20009,2026-05-29,7.0,15,183077.63
O30043,C11018,P20086,2026-01-06,7.0,15,78194.13
O30044,C10179,P20023,2025-11-01,5.0,10,301667.99
O30045,C11063,P20455,2025-12-23,5.0,10,192719.52
O30046,C10772,P20240,2025-05-28,3.0,0,85128.54
O30047,C10894,P20073,2025-10-12,5.0,0,212393.0
O30048,C11027,P20027,2025-09-19,3.0,15,160089.64
O30049,C11016,P20472,2026-05-06,1.0,0,41682.27
O30050,C10064,P20349,2025-01-31,4.0,5,240944.24
O30051,C10029,P20081,2025-09-25,,0,60333.24
O30052,C10372,P20084,2025-01-12,2.0,0,63218.94
O30053,C11547,P20199,2025-07-10,6.0,10,54486.43
O30054,C10097,P20043,2026-02-04,7.0,0,394355.15
O30055,C11894,P20488,2026-06-21,2.0,5,117484.33
O30056,C11466,P20263,2025-04-01,7.0,0,295935.92
O30057,C11227,P20092,2026-05-16,4.0,10,139655.88
O30058,C11435,P20339,2025-10-28,5.0,10,269142.17
O30059,C10993,P20447,2025-04-21,6.0,5,364393.82
O30060,C10021,P20084,2025-03-21,2.0,10,56897.05
O30061,C11575,P20300,2026-03-09,6.0,0,157411.5
O30062,C10735,P20423,2026-02-21,3.0,10,90440.14
O30063,C11126,P20296,2025-08-02,4.0,10,128071.12
O30064,C11070,P20135,2026-03-23,2.0,20,38475.97
O30065,C10066,P20454,2025-01-18,5.0,0,162557.1
O30066,C10603,P20281,2025-02-23,6.0,0,213461.76
O30067,C11188,P20489,2025-08-28,5.0,0,33347.75
O30068,C11995,P20059,2026-02-22,6.0,0,114249.06
O30069,C11135,P20397,2026-05-01,2.0,0,147981.22
O30070,C10338,P20359,2026-03-20,4.0,0,40466.0
O30071,C10123,P20488,2025-05-03,1.0,5,58742.17
O30072,C11729,P20342,2026-02-24,2.0,15,24321.19
O30073,C10447,P20241,2025-08-04,5.0,0,307973.45
O30074,C10611,P20465,2026-02-24,1.0,20,27088.26
O30075,C11315,P20368,2025-08-16,4.0,15,213715.43
O30076,C10671,P20342,2025-08-25,5.0,110,60802.96
O30077,C11436,P20098,2025-11-26,4.0,15,219612.43
O30078,C10615,P20062,2026-04-14,6.0,10,250389.58
O30079,C10897,P20264,2026-05-02,2.0,10,15590.72
O30080,C10281,P20113,2026-02-19,4.0,5,240993.42
O30081,C11067,P20429,2025-08-07,5.0,5,33887.07
O30082,C11510,P20146,2026-01-16,2.0,15,24248.43
O30083,C10596,P20216,2025-03-28,7.0,5,431013.03
O30084,C11987,P20256,2026-04-06,5.0,0,19076.3
O30085,C10703,P20316,2026-02-15,5.0,10,80921.84
O30086,C11075,P20316,2026-06-09,7.0,10,113290.57
O30087,C11922,P20362,2026-03-23,7.0,15,320985.54
O30088,C10210,P20258,2025-10-27,1.0,0,14402.91
O30089,C10126,P20194,2026-02-12,3.0,10,16437.55
O30090,C10492,P20347,2026-01-10,4.0,0,55600.48
O30091,C11533,P20014,2025-08-21,4.0,15,66414.51
O30092,C10960,P20304,2025-02-18,1.0,0,51073.95
O30093,C10970,P20103,2025-07-05,6.0,15,133291.87
O30094,C10581,P20245,2025-07-24,4.0,0,16881.52
O30095,C10777,P20245,2025-03-19,7.0,0,29542.66
O30096,C10258,P20312,2026-04-26,1.0,0,56227.78
O30097,C11954,P20268,2026-01-21,4.0,0,296022.24
O30098,C11212,P20224,2025-07-13,4.0,10,43689.85
O30099,C10230,P20220,2025-04-13,5.0,0,12860.35
O30100,C10189,P20311,2026-01-11,1.0,5,49132.94
O30101,C99999,P20412,2025-10-14,7.0,0,48934.06
O30102,C10010,P20366,2026-04-27,6.0,15,197331.6
O30103,C11138,P20217,2025-09-07,4.0,0,299046.6
O30104,C11100,P20004,2025-07-20,6.0,5,79963.65
O30105,C10676,P20474,2026-06-20,3.0,10,92594.21
O30106,C10502,P20036,2026-04-06,1.0,15,42971.64
O30107,C10085,P20178,2025-10-27,1.0,15,8721.71
O30108,C10049,P20387,2026-04-23,1.0,15,33430.93
O30109,C11519,P20257,2025-03-24,7.0,0,12269.39
O30110,C10838,P20017,2026-04-03,7.0,15,226989.11
O30111,C11008,P20199,2025-10-25,5.0,10,45405.36
O30112,C10689,P20318,2025-12-30,1.0,15,6412.66
O30113,C10387,P20048,2025-02-09,5.0,0,310749.2
O30114,C10970,P20062,2025-12-06,7.0,15,275892.22
O30115,C11413,P20069,2026-05-31,3.0,5,50109.9
O30116,C11006,P20147,2025-04-18,2.0,10,60411.55
O30117,C10218,P20359,2025-11-12,5.0,5,48053.38
O30118,C11725,P20366,2025-04-24,4.0,5,147031.39
O30119,C11005,P20162,2025-06-16,1.0,5,14725.52
O30120,C11370,P20227,2025-09-18,2.0,5,44764.44
O30121,C11254,P20433,2025-08-12,5.0,10,62819.91
O30122,C10255,P20464,2025-09-19,6.0,10,12543.98
O30123,C10236,P20488,2025-09-08,7.0,10,389553.32
O30124,C11050,P20498,2026-06-10,6.0,0,264012.78
O30125,C11608,P20431,2025-05-06,4.0,20,3971.04
O30126,C11285,P20487,2025-07-25,2.0,10,34397.95
O30127,C11790,P20347,2025-05-20,3.0,0,41700.36
O30128,C10271,P20489,2025-03-03,5.0,10,30012.98
O30129,C10123,P20230,2025-10-10,6.0,0,378042.96
O30130,C10656,P20370,2025-02-23,6.0,0,400255.26
O30131,C11281,P20178,2025-12-12,5.0,5,48738.94
O30132,C11680,P20345,2026-06-08,6.0,10,59523.07
O30133,C11445,P20410,2025-05-16,3.0,0,57817.98
O30134,C10259,P20056,2025-11-26,6.0,0,324089.7
O30135,C10948,P20078,2025-05-24,5.0,15,218800.8
O30136,C10047,P20270,2026-03-12,1.0,0,38371.34
O30137,C10863,P20206,2025-10-09,6.0,0,211054.74
O30138,C10525,P20281,2025-05-16,5.0,20,142307.84
O30139,C10888,P20228,2026-05-04,1.0,0,30306.76
O30140,C10208,P20388,2026-02-05,6.0,10,260196.62
O30141,C11335,P20239,2026-03-25,6.0,0,35550.12
O30142,C10747,P20463,2025-09-27,5.0,10,150811.61
O30143,C10149,P20288,2025-01-17,4.0,5,112488.93
O30144,C11858,P20082,2025-09-26,4.0,20,41539.23
O30145,C10438,P20334,2026-04-27,2.0,5,4678.07
O30146,C10155,P20250,2025-08-07,4.0,10,141335.5
O30147,C11702,P20193,2025-11-15,3.0,15,152326.34
O30148,C11114,P20106,2025-08-26,2.0,20,96339.62
O30149,C11722,P20189,2026-06-29,4.0,0,173672.16
O30150,C11854,P20276,2025-10-12,1.0,15,59368.76
O30151,C10358,P20074,,7.0,5,258632.33
O30152,C11198,P20010,2025-04-13,5.0,10,95349.74
O30153,C11241,P20123,2026-03-06,4.0,5,269163.12
O30154,C11931,P20216,2025-08-27,1.0,5,61573.29
