ProductID,ProductName,Category,SubCategory,UnitPrice
P20001,Product_1,Furniture,Chair,9570.82
P20002,Product_2,Accessories,Phone,9369.69
P20003,Product_3,Office Supplies,Storage,54168.59
P20004,Product_4,Electronics,Headset,14028.71
P20005,Product_5,Furniture,Laptop,24830.4
P20006,Product_6,Electronics,Phone,36694.74
P20007,Product_7,Appliances,Headset,2149.94
P20008,Product_8,Office Supplies,Headset,18886.78
P20009,Product_9,Electronics,Kitchen,30769.35
P20010,Product_10,Accessories,Other,21188.83
P20011,Product_11,Office Supplies,Printer,10486.86
P20012,Product_12,Accessories,Laptop,54682.52
P20013,Product_13,Electronics,Monitor,61042.13
P20014,Product_14,Office Supplies,Desk,19533.68
P20015,Product_15,Accessories,Printer,58149.14
P20016,Product_16,Appliances,Kitchen,29100.85
P20017,Product_17,Appliances,Laptop,38149.43
P20018,Product_18,Electronics,Chair,64243.28
P20019,Product_19,Office Supplies,Printer,56321.54
P20020,Product_20,Furniture,Chair,60442.23
P20021,Product_21,electronics,Desk,10522.33
P20022,Product_22,Appliances,Chair,5508.04
P20023,Product_23,Accessories,Desk,67037.33
P20024,Product_24,Furniture,Laptop,29271.22
P20025,Product_25,Electronics,Storage,21804.61
P20026,Product_26,Furniture,Desk,54434.81
P20027,Product_27,Electronics,Headset,62780.25
P20028,Product_28,Furniture,Monitor,64727.97
P20029,Product_29,Electronics,Monitor,23904.99
P20030,Product_30,Electronics,Phone,63960.27
P20031,Product_31,Furniture,Monitor,3357.77
P20032,Product_32,Furniture,Phone,4009.71
P20033,Product_33,Electronics,Monitor,46876.88
P20034,Product_34,Appliances,Desk,5014.05
P20035,Product_35,Furniture,Headset,24548.3
P20036,Product_36,Office Supplies,Storage,50554.87
P20037,Product_37,Accessories,Chair,25493.84
P20038,Product_38,Electronics,Kitchen,13716.1
P20039,Product_39,Electronics,Monitor,21316.89
P20040,Product_40,Accessories,Storage,34480.88
P20041,Product_41,Appliances,Storage,35811.32
P20042,Product_42,Accessories,Desk,58790.12
P20043,Product_43,Furniture,Laptop,56336.45
P20044,Product_44,Accessories,Laptop,34424.29
P20045,Product_45,Electronics,Monitor,63471.35
P20046,Product_46,Accessories,Kitchen,8833.51
P20047,Product_47,Office Supplies,Monitor,19374.9
P20048,Product_48,Furniture,Monitor,62149.84
P20049,Product_49,Accessories,Phone,28536.15
P20050,Product_50,Electronics,Headset,73594.26
P20051,Product_51,Furniture,Headset,35129.12
P20052,Product_52,Electronics,Kitchen,59457.59
P20053,Product_53,Appliances,Phone,30352.34
P20054,Product_54,Office Supplies,Storage,32044.03
P20055,Product_55,Appliances,Phone,28901.37
P20056,Product_56,Office Supplies,Monitor,54014.95
P20057,Product_57,Accessories,Laptop,41199.59
P20058,Product_58,Furniture,Printer,70800.22
P20059,Product_59,Accessories,Kitchen,19041.51
P20060,Product_60,Office Supplies,Storage,7812.04
P20061,Product_61,Office Supplies,Desk,29676.63
P20062,Product_62,Office Supplies,Printer,46368.44
P20063,Product_63,Electronics,Printer,64601.68
P20064,Product_64,Furniture,Phone,26160.91
P20065,Product_65,Accessories,Chair,49137.87
P20066,Product_66,Accessories,Printer,26459.84
P20067,Product_67,Appliances,Monitor,46406.3
P20068,Product_68,Office Supplies,Other,66395.15
P20069,Product_69,Office Supplies,Laptop,17582.42
P20070,Product_70,Office Supplies,Laptop,30496.85
P20071,Product_71,Accessories,Other,74496.91
P20072,Product_72,Appliances,Headset,65181.21
P20073,Product_73,Electronics,Monitor,42478.6
P20074,Product_74,Furniture,Desk,38892.08
P20075,Product_75,Electronics,Printer,21559.65
P20076,Product_76,Accessories,Headset,38935.54
P20077,Product_77,Office Supplies,Monitor,63659.16
P20078,Product_78,Furniture,Phone,51482.54
P20079,Product_79,Accessories,Laptop,21966.29
P20080,Product_80,Accessories,Headset,15349.35
P20081,Product_81,Accessories,Kitchen,20111.08
P20082,Product_82,Furniture,Printer,12981.01
P20083,Product_83,Furniture,Printer,7444.36
P20084,Product_84,Appliances,Desk,31609.47
P20085,Product_85,Appliances,Chair,8763.48
P20086,Product_86,Electronics,Kitchen,13141.87
P20087,Product_87,Furniture,Printer,41185.15
P20088,Product_88,Furniture,Storage,12595.57
P20089,Product_89,Furniture,Kitchen,5071.82
P20090,Product_90,Appliances,Printer,24008.95
P20091,Product_91,Accessories,Other,16757.84
P20092,Product_92,Office Supplies,Kitchen,38793.3
P20093,Product_93,Appliances,Monitor,7946.82
P20094,Product_94,Furniture,Kitchen,56457.28
P20095,Product_95,Appliances,Desk,67995.64
P20096,Product_96,Electronics,Phone,55834.61
P20097,Product_97,Furniture,Phone,40102.18
P20098,Product_98,Electronics,Phone,64591.89
P20099,Product_99,Furniture,Monitor,52210.4
P20100,Product_100,Appliances,Headset,1088.17
P20101,Product_101,Accessories,Phone,29738.53
